ACT Legislative Assembly Election 2016 - Interim Distribution of Preferences: Brindabella Table 2 - Votes,,,,,,,,,,,,,Quota =,7806,,Number of vacancies = 5,,,,,,,,,,,,Updated 22 October 2016 2.45 pm,,,,,
Count,Sustainable Australia (ACT),,Canberra Liberals,,,,,Animal Justice Party,,Like Canberra,,ACT Labor,,,,,Liberal Democrats,,,,,The Greens,,,Australian Sex Party ACT,,Ungrouped,,Votes Exhausted at Count,Loss by fraction,Total votes at End of the Count,Remarks,
,Claude HASTIR,Melissa KEMP,Andrew WALL,Annette FAZEY-SOUTHWELL, Ed COCKS,Mark PARTON,Nicole LAWDER,Robyn SOXSMITH,Sarah O'BRIEN,Richard TUFFIN,Timothy FRIEL,Angie DRAKE,Joy BURCH,Karl MAFTOUM,Mick GENTLEMAN,Taimus WERNER-GIBBINGS,Greg RENET,Jacob GOWOR,Matt DONNELLY,Matt STRASCHKO,Vera SARAGIH,Ben MURPHY,Johnathan DAVIS,Michael MAZENGARB,Monique SHEPHERD,Steven BAILEY,Andrew HOLT,Joel McKAY,,,,,
1,251,446,5614,1669,3195,4962,4166,474,632,231,211,2940,3838,1871,3964,3131,261,256,284,169,205,590,684,1125,1623,2071,767,1200,,,,,
,251,446,5614,1669,3195,4962,4166,474,632,231,211,2940,3838,1871,3964,3131,261,256,284,169,205,590,684,1125,1623,2071,767,1200,,,46830,,
2,,2,1,,7,3,,,,1,2,5,1,2,3,2,28,35,32,-169,27,5,1,1,2,3,,2,4,,,Matt STRASCHKO's votes distributed. ,
,251,448,5615,1669,3202,4965,4166,474,632,232,213,2945,3839,1873,3967,3133,289,291,316,,232,595,685,1126,1625,2074,767,1202,4,,46830,Matt STRASCHKO fully excluded. ,
3,2,,4,3,1,2,1,5,3,123,-213,5,10,2,2,5,,,1,,1,2,,4,4,21,5,3,4,,,Timothy FRIEL's votes distributed. ,
,253,448,5619,1672,3203,4967,4167,479,635,355,,2950,3849,1875,3969,3138,289,291,317,,233,597,685,1130,1629,2095,772,1205,8,,46830,Timothy FRIEL fully excluded. ,
4,,2,7,2,4,4,5,1,5,5,,4,2,,3,7,42,60,56,,-233,6,5,2,4,3,3,1,,,,Vera SARAGIH's votes distributed. ,
,253,450,5626,1674,3207,4971,4172,480,640,360,,2954,3851,1875,3972,3145,331,351,373,,,603,690,1132,1633,2098,775,1206,8,,46830,Vera SARAGIH fully excluded. ,
5,-253,129,16,13,11,5,13,7,5,1,,4,7,2,3,3,2,,1,,,3,1,5,3,8,3,1,7,,,Claude HASTIR's votes distributed. ,
,,579,5642,1687,3218,4976,4185,487,645,361,,2958,3858,1877,3975,3148,333,351,374,,,606,691,1137,1636,2106,778,1207,15,,46830,Claude HASTIR fully excluded. ,
6,,2,12,9,7,6,4,6,1,2,,2,10,4,3,6,-333,110,105,,,3,3,3,6,17,6,4,2,,,Greg RENET's votes distributed. ,
,,581,5654,1696,3225,4982,4189,493,646,363,,2960,3868,1881,3978,3154,,461,479,,,609,694,1140,1642,2123,784,1211,17,,46830,Greg RENET fully excluded. ,
7,,44,19,5,8,19,9,13,17,-363,,14,18,9,14,17,,3,3,,,3,12,14,32,23,27,34,6,,,Richard TUFFIN's votes distributed. ,
,,625,5673,1701,3233,5001,4198,506,663,,,2974,3886,1890,3992,3171,,464,482,,,612,706,1154,1674,2146,811,1245,23,,46830,Richard TUFFIN fully excluded. ,
8,,2,9,3,5,5,26,4,3,,,,7,3,6,4,,-464,340,,,6,3,8,11,8,4,3,4,,,Jacob GOWOR's votes distributed. ,
,,627,5682,1704,3238,5006,4224,510,666,,,2974,3893,1893,3998,3175,,,822,,,618,709,1162,1685,2154,815,1248,27,,46830,Jacob GOWOR fully excluded. ,
